,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
383,351,4,13,154,a,8.83,33.46,Erling Haaland,9
233,182,3,6,109,a,6.79,33.24,Cole Palmer,9
506,491,3,18,67,a,5.5,23.03,Brennan Johnson,9
382,350,2,13,61,a,5.4,24.25,Joško Gvardiol,9
156,99,3,4,76,a,5.37,26.97,Bryan Mbeumo,9
376,342,3,13,65,a,5.22,23.2,Bernardo Veiga de Carvalho e Silva,9
518,503,3,18,99,a,5.03,26.4,Son Heung-min,9
362,328,3,12,126,a,4.85,34.05,Mohamed Salah,9
380,348,3,13,92,a,4.84,18.44,Phil Foden,9
507,492,3,18,62,a,4.78,21.43,Dejan Kulusevski,9
119,58,4,2,91,a,4.66,24.84,Ollie Watkins,9
192,136,3,5,66,a,4.62,20.7,Mitoma Kaoru,9
202,148,4,5,59,d,4.62,19.8,Danny Welbeck,9
509,494,3,18,76,a,4.6,19.91,James Maddison,9
36,347,1,13,55,a,4.53,20.86,Ederson Santana de Moraes,9
510,495,2,18,55,a,4.52,22.22,Pedro Porro,9
402,372,3,14,62,a,4.48,22.8,Alejandro Garnacho,9
627,625,3,13,65,a,4.46,18.67,Ilkay Gündogan,9
141,82,4,18,77,a,4.44,20.0,Dominic Solanke-Mitchell,9
621,618,3,5,55,a,4.38,16.9,Georginio Rutter,9
379,346,3,13,63,a,4.38,17.89,Jérémy Doku,9
275,230,3,8,58,a,4.3,20.32,Dwight McNeil,9
387,355,2,13,48,a,4.29,17.02,Rico Lewis,9
231,180,4,6,79,a,4.26,20.99,Nicolas Jackson,9
11,91,1,4,45,a,4.22,20.95,Mark Flekken,9
228,177,3,6,65,a,4.22,20.18,Noni Madueke,9
14,146,1,5,45,a,4.21,17.09,Bart Verbruggen,9
397,366,3,14,82,a,4.2,22.81,Bruno Borges Fernandes,9
425,398,3,15,73,a,4.15,21.71,Anthony Gordon,9
161,104,2,4,45,a,4.1,17.87,Ethan Pinnock,9
294,252,4,9,57,a,4.08,20.02,Raúl Jiménez,9
468,447,4,16,63,a,4.03,20.56,Chris Wood,9
386,354,3,13,56,a,4.02,20.71,Mateo Kovačić,9
392,361,2,13,55,a,4.0,15.78,Rúben Gato Alves Dias,9
413,385,3,14,69,a,3.98,22.36,Marcus Rashford,9
526,514,3,19,74,a,3.91,23.26,Jarrod Bowen,9
173,117,3,11,50,a,3.91,17.35,Facundo Buonanotte,9
26,248,1,9,50,a,3.91,20.17,Bernd Leno,9
137,78,3,3,56,a,3.88,21.72,Antoine Semenyo,9
176,120,2,5,45,a,3.87,14.94,Lewis Dunk,9
577,571,3,13,65,a,3.85,17.17,Sávio 'Savinho' Moreira de Oliveira,9
116,54,3,2,54,a,3.83,18.47,Morgan Rogers,9
72,3,2,1,63,a,3.83,21.26,Gabriel dos Santos Magalhães,9
146,88,2,4,45,a,3.8,17.95,Nathan Collins,9
2,15,1,1,57,a,3.78,21.1,David Raya Martin,9
54,508,1,18,50,a,3.78,19.02,Guglielmo Vicario,9
46,443,1,16,45,a,3.78,17.51,Matz Sels,9
73,4,4,1,83,a,3.77,21.9,Kai Havertz,9
381,349,3,13,64,a,3.77,17.49,Jack Grealish,9
266,220,4,8,60,a,3.77,20.33,Dominic Calvert-Lewin,9
83,17,3,1,100,d,3.76,26.39,Bukayo Saka,9
147,89,3,4,50,a,3.7,19.39,Mikkel Damsgaard,9
343,306,4,11,57,a,3.64,17.35,Jamie Vardy,9
24,235,1,8,48,a,3.64,20.97,Jordan Pickford,9
290,247,3,9,55,a,3.63,20.81,Alex Iwobi,9
513,498,2,18,51,a,3.62,16.45,Cristian Romero,9
521,506,2,18,47,a,3.6,15.52,Micky van de Ven,9
520,505,2,18,49,a,3.59,15.38,Destiny Udogie,9
200,145,2,5,45,a,3.57,13.61,Joël Veltman,9
393,362,2,13,53,a,3.56,15.08,John Stones,9
284,240,3,9,53,a,3.55,17.25,Andreas Hoelgebaum Pereira,9
85,19,3,9,57,a,3.55,18.92,Emile Smith Rowe,9
297,255,2,9,47,a,3.53,16.35,Antonee Robinson,9
248,199,3,7,67,a,3.5,24.14,Eberechi Eze,9
40,383,1,14,50,a,3.49,21.57,André Onana,9
457,434,3,16,54,d,3.47,16.64,Callum Hudson-Odoi,9
29,293,1,11,45,a,3.38,16.63,Mads Hermansen,9
283,239,3,9,51,a,3.37,17.87,Adama Traoré,9
166,110,4,4,59,a,3.36,16.2,Yoane Wissa,9
310,268,4,10,57,a,3.33,17.47,Liam Delap,9
5,47,1,2,50,a,3.33,18.65,Emiliano Martínez Romero,9
361,327,3,12,79,a,3.31,20.78,Luis Díaz,9
404,375,4,14,69,a,3.31,11.88,Rasmus Højlund,9
15,152,1,3,45,a,3.3,15.32,Kepa Arrizabalaga,9
171,115,3,5,50,a,3.29,13.5,Carlos Baleba,9
336,298,3,11,53,a,3.29,15.55,Stephy Mavididi,9
459,436,2,16,45,a,3.25,13.66,Murillo Santiago Costa dos Santos,9
333,295,2,11,46,a,3.25,14.4,James Justin,9
77,9,3,1,70,a,3.24,19.63,Gabriel Martinelli Silva,9
118,57,3,2,55,a,3.21,16.43,Youri Tielemans,9
125,64,3,3,50,a,3.21,18.31,Lewis Cook,9
62,568,1,10,44,a,3.2,17.44,Arijanet Muric,9
346,311,2,12,71,a,3.19,21.19,Trent Alexander-Arnold,9
182,126,3,5,50,a,3.18,14.36,Jack Hinshelwood,9
208,157,3,6,49,a,3.17,14.44,Moisés Caicedo Corozo,9
158,101,3,4,48,a,3.17,13.31,Christian Nørgaard,9
399,369,2,14,51,a,3.17,17.49,Diogo Dalot Teixeira,9
43,413,1,15,50,a,3.16,18.8,Nick Pope,9
584,578,2,1,58,d,3.14,15.94,Riccardo Calafiori,9
446,422,2,16,45,a,3.11,14.16,Ola Aina,9
338,300,3,11,50,a,3.11,14.69,Wilfred Ndidi,9
579,573,2,16,45,a,3.09,13.71,Nikola Milenković,9
82,16,3,1,63,a,3.08,16.82,Declan Rice,9
630,628,2,5,45,a,3.06,9.91,Ferdi Kadioglu,9
277,232,4,8,54,a,3.05,15.66,Iliman Ndiaye,9
420,392,3,15,65,a,3.03,16.73,Harvey Barnes,9
374,340,2,13,55,a,3.02,13.17,Manuel Akanji,9
309,267,2,10,45,a,3.02,17.37,Leif Davis,9
142,83,3,3,55,a,3.0,19.07,Marcus Tavernier,9
144,86,2,4,45,a,3.0,12.64,Kristoffer Ajer,9
422,394,3,15,62,a,2.98,15.93,Bruno Guimarães Rodriguez Moura,9
56,513,1,19,44,a,2.96,16.08,Alphonse Areola,9
155,98,3,4,50,a,2.95,13.58,Keane Lewis-Potter,9
447,423,3,16,50,a,2.94,14.23,Elliot Anderson,9
598,593,2,14,50,a,2.94,17.81,Matthijs de Ligt,9
620,617,4,3,59,a,2.92,16.21,Francisco Evanilson de Lima Barbosa,9
280,236,2,8,48,a,2.89,15.5,James Tarkowski,9
400,370,3,14,54,a,2.88,14.67,Christian Eriksen,9
102,36,2,2,46,a,2.87,14.38,Lucas Digne,9
278,233,3,2,51,a,2.86,14.4,Amadou Onana,9
115,53,3,2,54,a,2.86,13.51,Jacob Ramsey,9
19,185,1,6,47,a,2.85,19.77,Robert Sánchez,9
89,23,3,1,69,a,2.84,18.54,Leandro Trossard,9
428,401,4,15,83,a,2.84,16.99,Alexander Isak,9
282,238,2,8,45,a,2.84,14.89,Ashley Young,9
151,94,3,4,49,a,2.83,13.89,Vitaly Janelt,9
20,201,1,7,45,a,2.83,18.73,Dean Henderson,9
331,291,2,11,42,a,2.82,13.77,Wout Faes,9
373,339,2,12,60,a,2.81,17.54,Virgil van Dijk,9
360,326,2,12,53,a,2.81,16.01,Ibrahima Konaté,9
273,228,2,8,42,a,2.81,14.87,Michael Keane,9
90,24,2,1,63,a,2.81,15.35,Benjamin White,9
550,541,4,20,65,a,2.8,20.33,Matheus Santos Carneiro Da Cunha,9
430,403,3,15,60,a,2.79,16.69,Joelinton Cássio Apolinário de Lira,9
316,274,3,10,53,a,2.79,14.92,Omari Giraud-Hutchinson,9
414,386,3,6,64,a,2.79,14.57,Jadon Sancho,9
564,557,3,20,50,a,2.78,14.85,Mario Lemina,9
535,525,3,19,63,s,2.77,21.86,Mohammed Kudus,9
372,338,2,4,40,a,2.75,12.5,Sepp van den Berg,9
213,162,2,6,46,a,2.73,14.2,Levi Colwill,9
352,317,3,12,74,d,2.72,18.69,Diogo Teixeira da Silva,9
163,106,3,4,53,a,2.69,13.28,Kevin Schade,9
576,570,3,11,54,a,2.68,12.29,Abdul Fatawu,9
184,128,2,5,44,a,2.67,9.61,Igor Julio dos Santos de Paulo,9
370,336,3,12,64,a,2.65,17.92,Dominik Szoboszlai,9
498,482,3,18,49,a,2.64,11.83,Yves Bissouma,9
320,278,3,10,49,a,2.63,13.54,Sam Morsy,9
299,257,2,9,45,a,2.61,13.62,Kenny Tete,9
86,20,3,1,50,a,2.59,14.33,Thomas Partey,9
94,28,3,2,63,a,2.59,13.59,Leon Bailey,9
270,224,3,8,53,a,2.58,13.97,Jack Harrison,9
470,449,3,16,49,a,2.57,12.94,Ryan Yates,9
60,554,1,20,43,a,2.54,9.01,José Malheiro de Sá,9
439,415,2,15,54,a,2.53,14.16,Fabian Schär,9
285,241,2,9,45,a,2.52,13.02,Calvin Bassey,9
573,566,4,20,55,a,2.52,16.98,Jørgen Strand Larsen,9
132,71,3,3,53,a,2.52,14.58,Justin Kluivert,9
92,26,2,16,44,a,2.51,11.17,Álex Moreno Lopera,9
114,52,2,2,45,a,2.49,12.65,Pau Torres,9
523,509,3,18,62,a,2.49,11.43,Timo Werner,9
537,527,3,19,59,a,2.48,15.81,Lucas Tolentino Coelho de Lima,9
222,171,2,6,49,a,2.48,12.43,Malo Gusto,9
378,345,3,13,94,d,2.43,16.62,Kevin De Bruyne,9
369,335,2,12,60,a,2.41,17.77,Andrew Robertson,9
263,217,3,8,52,a,2.4,12.19,Abdoulaye Doucouré,9
349,314,3,4,48,a,2.39,13.68,Fábio Freitas Gouveia Carvalho,9
345,309,3,11,45,a,2.38,10.3,Harry Winks,9
409,380,2,14,45,a,2.38,15.25,Lisandro Martínez,9
534,524,2,19,45,a,2.37,12.21,Max Kilman,9
104,38,4,2,62,a,2.37,14.06,Jhon Durán,9
540,530,3,19,50,a,2.36,14.62,Tomáš Souček,9
416,388,2,19,44,a,2.36,12.39,Aaron Wan-Bissaka,9
356,321,4,12,71,a,2.35,13.82,Cody Gakpo,9
178,122,2,5,50,a,2.35,9.56,Pervis Estupiñán,9
138,79,2,3,48,a,2.32,13.47,Marcos Senesi,9
455,432,3,16,52,a,2.32,12.16,Anthony Elanga,9
339,301,2,11,40,a,2.32,10.27,Caleb Okoli,9
241,192,3,11,52,a,2.3,11.32,Jordan Ayew,9
232,181,3,6,60,a,2.29,13.65,Christopher Nkunku,9
131,70,2,3,44,a,2.28,13.23,Milos Kerkez,9
79,11,4,7,59,a,2.27,13.36,Eddie Nketiah,9
1,14,1,17,44,a,2.27,13.75,Aaron Ramsdale,9
358,323,3,12,50,a,2.26,13.13,Ryan Gravenberch,9
143,85,2,3,44,a,2.25,13.5,Illia Zabarnyi,9
567,560,3,6,62,a,2.25,11.46,Pedro Lomba Neto,9
139,80,3,3,50,a,2.25,14.18,Luis Sinisterra,9
417,389,4,14,67,a,2.24,15.77,Joshua Zirkzee,9
359,324,3,12,53,a,2.23,12.62,Curtis Jones,9
601,596,3,16,59,a,2.23,10.01,João Pedro Ferreira Silva,9
179,123,4,5,55,a,2.23,6.55,Evan Ferguson,9
276,231,2,8,43,a,2.2,11.15,Vitalii Mykolenko,9
98,32,2,2,44,a,2.2,10.52,Matty Cash,9
101,35,2,2,45,a,2.19,10.09,Diego Carlos Santos Silva,9
532,520,2,19,44,a,2.17,11.66,Emerson Palmieri dos Santos,9
423,395,2,15,44,a,2.17,13.8,Dan Burn,9
398,368,3,14,48,d,2.16,12.59,Carlos Henrique Casimiro,9
525,512,4,19,54,a,2.15,13.29,Michail Antonio,9
124,63,3,3,49,a,2.15,12.63,Ryan Christie,9
219,168,3,6,49,a,2.15,12.54,Enzo Fernández,9
632,630,2,10,40,a,2.14,9.4,Dara O'Shea,9
191,135,3,5,54,d,2.13,12.85,Yankuba Minteh,9
252,205,3,7,52,a,2.11,11.54,Daichi Kamada,9
254,207,4,7,73,a,2.11,16.34,Jean-Philippe Mateta,9
426,399,2,15,43,a,2.1,13.19,Lewis Hall,9
543,533,2,20,44,a,2.09,17.14,Rayan Aït-Nouri,9
429,402,3,15,51,a,2.07,12.56,Jacob Murphy,9
514,499,3,18,49,a,2.07,11.09,Pape Matar Sarr,9
394,363,2,13,53,d,2.06,9.85,Kyle Walker,9
615,611,3,10,58,a,2.06,11.28,Sam Szmodics,9
249,200,2,7,44,a,2.04,15.33,Marc Guéhi,9
253,206,3,7,48,a,2.04,10.77,Jefferson Lerma Solís,9
214,163,2,6,50,a,2.01,10.89,Marc Cucurella Saseta,9
562,553,3,20,49,a,2.0,10.11,João Victor Gomes da Silva,9
566,559,2,20,45,a,1.99,11.27,Nélson Cabral Semedo,9
441,417,3,15,55,a,1.98,10.83,Sandro Tonali,9
496,480,3,18,50,a,1.98,8.6,Rodrigo Bentancur,9
203,149,3,5,48,a,1.97,7.69,Mats Wieffer,9
235,186,3,1,67,a,1.96,10.89,Raheem Sterling,9
84,18,2,1,60,s,1.96,14.55,William Saliba,9
593,588,3,19,49,a,1.95,9.72,Guido Rodríguez,9
596,591,2,19,44,a,1.94,10.01,Jean-Clair Todibo,9
599,594,2,14,46,a,1.93,12.75,Noussair Mazraoui,9
293,251,4,9,57,a,1.91,12.2,Rodrigo Muniz Carvalho,9
401,371,2,14,44,a,1.91,10.22,Jonny Evans,9
268,222,3,8,49,a,1.89,9.79,Idrissa Gueye,9
78,10,3,9,50,a,1.88,11.01,Reiss Nelson,9
257,211,2,7,48,a,1.85,15.18,Daniel Muñoz,9
256,210,2,7,49,a,1.84,15.15,Tyrick Mitchell,9
590,585,3,7,58,a,1.82,11.05,Ismaïla Sarr,9
390,359,3,10,49,a,1.81,9.2,Kalvin Phillips,9
395,364,3,14,50,a,1.8,13.25,Amad Diallo,9
177,121,3,5,54,a,1.79,7.87,Julio Enciso,9
334,296,2,11,45,a,1.78,9.55,Victor Kristiansen,9
95,29,3,2,52,a,1.78,9.43,Ross Barkley,9
650,650,2,7,45,a,1.76,13.29,Maxence Lacroix,9
34,325,1,12,44,a,1.75,9.5,Caoimhin Kelleher,9
541,531,3,16,62,a,1.75,8.84,James Ward-Prowse,9
93,27,4,17,50,a,1.74,12.61,Cameron Archer,9
351,316,4,12,71,a,1.74,10.34,Darwin Núñez Ribeiro,9
223,172,2,6,49,a,1.73,6.26,Reece James,9
444,420,3,15,48,a,1.71,8.41,Joe Willock,9
456,433,3,16,63,d,1.69,14.45,Morgan Gibbs-White,9
167,111,3,4,44,a,1.69,7.18,Yehor Yarmoliuk,9
592,587,3,19,57,a,1.67,9.19,Crysencio Summerville,9
612,608,3,17,46,a,1.66,13.71,Tyler Dibling,9
460,437,2,16,44,a,1.65,7.85,Neco Williams,9
199,144,2,5,45,a,1.65,9.31,Jan Paul van Hecke,9
71,2,4,1,68,a,1.64,9.12,Gabriel Fernando de Jesus,9
363,329,3,12,62,a,1.63,12.21,Alexis Mac Allister,9
530,518,3,17,49,a,1.63,12.55,Flynn Downes,9
210,159,2,7,44,a,1.6,10.69,Trevoh Chalobah,9
473,452,3,17,49,a,1.6,12.62,Joe Aribo,9
388,356,3,13,49,a,1.58,5.24,Matheus Luiz Nunes,9
240,191,2,9,43,s,1.58,11.93,Joachim Andersen,9
524,511,3,19,50,a,1.57,7.57,Edson Álvarez Velázquez,9
551,542,2,20,44,a,1.57,10.49,Craig Dawson,9
111,48,3,2,52,a,1.56,8.18,John McGinn,9
436,409,2,15,45,a,1.55,10.5,Tino Livramento,9
545,535,3,20,50,a,1.54,10.48,Jean-Ricner Bellegarde,9
262,216,3,7,48,a,1.53,9.07,Adam Wharton,9
140,81,2,3,45,a,1.49,9.91,Adam Smith,9
574,567,2,20,43,a,1.46,9.79,Toti António Gomes,9
624,621,3,6,61,a,1.44,6.93,João Félix Sequeira,9
375,341,2,13,53,a,1.42,5.16,Nathan Aké,9
74,6,2,1,55,d,1.42,11.59,Jurriën Timber,9
307,265,3,10,52,a,1.42,7.53,Conor Chaplin,9
305,263,2,10,39,a,1.4,6.63,Cameron Burgess,9
288,245,2,9,45,a,1.39,7.33,Issa Diop,9
481,461,2,17,40,a,1.38,10.52,Taylor Harwood-Bellis,9
238,189,2,6,45,a,1.38,8.29,Wesley Fofana,9
538,528,2,19,45,a,1.36,8.63,Konstantinos Mavropanos,9
236,187,2,6,44,a,1.35,6.72,Tosin Adarabioyo,9
225,174,3,6,45,a,1.35,5.7,Roméo Lavia,9
33,310,1,12,54,i,1.35,14.69,Alisson Ramses Becker,9
169,113,3,5,54,a,1.34,6.56,Simon Adingra,9
234,184,3,6,45,a,1.34,6.05,Renato Palma Veiga,9
76,8,2,1,48,a,1.3,6.87,Jakub Kiwior,9
437,410,3,15,47,a,1.3,6.85,Sean Longstaff,9
312,270,2,10,41,i,1.29,7.76,Jacob Greaves,9
185,129,4,5,54,i,1.27,9.11,João Pedro Junqueira de Jesus,9
491,474,2,17,45,d,1.26,11.76,Sugawara Yukinari,9
475,455,2,17,40,a,1.24,9.26,Jan Bednarek,9
110,45,2,2,48,a,1.24,6.52,Ian Maatsen,9
396,365,3,14,57,a,1.23,5.77,Antony Matheus dos Santos,9
419,391,3,15,56,a,1.23,6.41,Miguel Almirón Rejala,9
597,592,2,3,44,a,1.21,6.59,Julián Araujo Zúñiga,9
21,204,1,20,44,d,1.2,8.65,Sam Johnstone,9
260,214,3,7,48,a,1.19,6.99,Jeffrey Schlupp,9
487,470,4,17,49,a,1.19,5.75,Paul Onuachu,9
109,44,2,2,45,a,1.18,9.32,Ezri Konsa Ngoyo,9
557,548,3,20,53,a,1.13,6.18,Gonçalo Manuel Ganchinho Guedes,9
206,153,2,6,43,a,1.12,5.98,Benoît Badiashile,9
512,497,4,18,68,a,1.11,6.24,Richarlison de Andrade,9
324,284,2,10,40,a,1.1,7.02,Luke Woolfenden,9
493,476,2,17,44,a,1.08,10.81,Kyle Walker-Peters,9
407,378,3,14,52,i,1.06,10.61,Kobbie Mainoo,9
652,652,3,14,49,a,1.05,6.8,Manuel Ugarte,9
230,179,3,6,62,a,1.04,5.6,Mykhailo Mudryk,9
247,198,4,11,53,a,1.03,5.56,Odsonne Edouard,9
75,7,3,1,48,a,1.03,5.05,Jorge Luiz Frello Filho,9
330,290,3,11,52,a,1.02,5.83,Bobby De Cordova-Reid,9
533,523,4,19,50,a,1.02,5.43,Danny Ings,9
162,105,2,4,44,a,1.0,6.0,Mads Roerslev Rasmussen,9
485,467,2,17,43,a,0.97,7.65,Ryan Manning,9
571,564,2,20,43,a,0.95,8.14,Santiago Bueno,9
91,25,2,1,48,a,0.95,5.01,Oleksandr Zinchenko,9
448,424,4,16,57,a,0.94,6.05,Taiwo Awoniyi,9
474,453,4,17,52,a,0.93,5.57,Adam Armstrong,9
371,337,2,12,46,a,0.92,5.67,Konstantinos Tsimikas,9
497,481,3,18,45,a,0.89,3.63,Lucas Bergvall,9
81,13,3,1,82,i,0.89,8.65,Martin Ødegaard,9
504,489,3,18,47,a,0.87,4.11,Archie Gray,9
301,259,3,9,53,a,0.85,5.58,Harry Wilson,9
97,31,3,2,53,a,0.85,4.97,Emiliano Buendía Stati,9
357,322,2,12,48,a,0.84,5.05,Joe Gomez,9
614,610,3,18,45,a,0.8,2.96,Mikey Moore,9
442,418,2,15,57,i,0.79,9.37,Kieran Trippier,9
154,97,3,4,45,a,0.79,2.77,Yunus Emre Konak,9
80,12,3,1,45,a,0.77,4.93,Ethan Nwaneri,9
264,218,4,8,50,a,0.75,2.76,Norberto Bercique Gomes Betuncal,9
502,486,2,18,43,a,0.75,3.72,Radu Drăgușin,9
405,376,2,14,43,a,0.74,4.61,Victor Lindelöf,9
583,577,3,8,52,a,0.74,5.87,Jesper Lindstrøm,9
391,360,3,13,63,i,0.7,6.46,Rodrigo 'Rodri' Hernandez,9
325,285,3,11,44,a,0.68,2.23,Boubakary Soumaré,9
465,442,3,16,44,i,0.68,3.48,Ibrahim Sangaré,9
265,219,2,8,48,d,0.67,4.88,Jarrad Branthwaite,9
217,166,3,6,56,a,0.66,4.03,Kiernan Dewsbury-Hall,9
245,196,2,7,44,a,0.66,5.83,Nathaniel Clyne,9
559,550,3,20,61,i,0.65,6.52,Hwang Hee-chan,9
406,377,2,14,49,i,0.62,6.74,Harry Maguire,9
587,582,2,8,47,a,0.61,3.39,Jake O'Brien,9
589,584,3,17,51,a,0.59,5.89,Ben Brereton Díaz,9
218,167,2,6,43,a,0.59,3.72,Axel Disasi,9
490,473,4,17,46,i,0.59,4.07,Ross Stewart,9
492,475,2,17,40,a,0.57,4.75,Charlie Taylor,9
570,563,3,20,52,a,0.57,3.48,Rodrigo Martins Gomes,9
237,188,3,17,45,a,0.56,3.44,Lesley Ugochukwu,9
302,260,4,10,49,a,0.54,3.14,Ali Al-Hamadi,9
355,320,3,12,48,a,0.54,3.47,Endo Wataru,9
69,660,1,12,40,a,0.53,3.16,Vítezslav Jaros,9
201,147,2,5,44,i,0.53,3.95,Adam Webster,9
595,590,4,15,50,a,0.52,3.13,William Osula,9
323,282,2,10,40,i,0.49,5.29,Axel Tuanzebe,9
272,226,3,8,45,i,0.48,5.22,Tim Iroegbunam,9
190,134,3,5,50,i,0.47,3.89,James Milner,9
606,602,3,4,45,a,0.46,1.98,Ryan Trevitt,9
411,382,3,14,63,d,0.46,5.76,Mason Mount,9
317,275,2,10,40,d,0.45,3.88,Ben Johnson,9
152,95,3,4,53,d,0.44,5.91,Mathias Jensen,9
242,193,3,7,49,d,0.41,3.93,Cheick Doucouré,9
528,516,2,19,44,a,0.41,3.93,Vladimír Coufal,9
431,404,2,15,44,a,0.41,3.66,Lloyd Kelly,9
135,76,3,3,48,a,0.4,3.21,Philip Billing,9
319,277,3,10,45,i,0.38,2.73,Massimo Luongo,9
348,313,2,12,47,d,0.38,4.45,Conor Bradley,9
586,580,2,3,44,a,0.37,4.03,Dean Huijsen,9
552,543,2,20,44,a,0.37,3.17,Matt Doherty,9
602,597,3,1,45,a,0.33,1.98,Myles Lewis-Skelly,9
603,598,2,2,40,a,0.33,2.07,Lamare Bogarde,9
519,504,2,18,44,d,0.31,3.4,Djed Spence,9
617,613,3,14,45,a,0.29,2.84,Toby Collyer,9
594,589,4,19,67,i,0.29,5.35,Niclas Füllkrug,9
529,517,2,19,40,a,0.28,3.26,Aaron Cresswell,9
328,288,2,11,40,a,0.27,1.13,Conor Coady,9
638,636,3,12,68,d,0.26,3.75,Federico Chiesa,9
287,244,2,9,42,i,0.25,3.98,Timothy Castagne,9
10,84,1,3,44,a,0.25,2.87,Mark Travers,9
565,558,2,20,40,i,0.25,3.46,Yerson Mosquera,9
113,50,2,2,40,a,0.24,1.81,Kosta Nedeljković,9
432,405,2,15,44,a,0.22,3.63,Emil Krafth,9
243,194,2,7,44,i,0.21,4.69,Chris Richards,9
57,521,1,19,40,a,0.19,3.1,Łukasz Fabiański,9
489,472,2,17,40,a,0.18,3.84,Jack Stephens,9
327,287,3,11,44,i,0.16,1.67,Hamza Choudhury,9
