,element,position,team,value,status,expected_pts_N1,expected_pts_full,name,gw
385,351,4,13,152,a,7.49,31.23,Erling Haaland,12
364,328,3,12,129,a,6.76,34.18,Mohamed Salah,12
235,182,3,6,109,d,6.35,35.58,Cole Palmer,12
85,17,3,1,101,d,5.71,30.35,Bukayo Saka,12
430,401,4,15,85,a,5.11,24.9,Alexander Isak,12
375,339,2,12,63,a,4.87,19.42,Virgil van Dijk,12
363,327,3,12,77,a,4.75,20.43,Luis Díaz,12
399,366,3,14,84,a,4.67,24.79,Bruno Borges Fernandes,12
233,180,4,6,79,a,4.65,23.01,Nicolas Jackson,12
158,99,3,4,79,d,4.57,25.81,Bryan Mbeumo,12
87,19,3,9,57,a,4.55,21.02,Emile Smith Rowe,12
382,348,3,13,92,d,4.49,23.9,Phil Foden,12
427,398,3,15,72,a,4.46,23.8,Anthony Gordon,12
528,514,3,19,75,a,4.45,24.57,Jarrod Bowen,12
292,247,3,9,56,a,4.44,20.12,Alex Iwobi,12
24,235,1,8,49,a,4.4,19.93,Jordan Pickford,12
121,58,4,2,90,a,4.34,22.42,Ollie Watkins,12
384,350,2,13,63,a,4.28,24.45,Joško Gvardiol,12
75,4,4,1,80,a,4.26,22.35,Kai Havertz,12
79,9,3,1,69,a,4.25,21.13,Gabriel Martinelli Silva,12
139,78,3,3,57,d,4.2,22.12,Antoine Semenyo,12
569,560,3,6,62,a,4.04,18.46,Pedro Lomba Neto,12
362,326,2,12,54,a,4.03,16.87,Ibrahima Konaté,12
299,255,2,9,47,a,4.02,16.35,Antonee Robinson,12
378,342,3,13,64,a,4.01,21.23,Bernardo Veiga de Carvalho e Silva,12
432,403,3,15,60,a,3.99,19.93,Joelinton Cássio Apolinário de Lira,12
2,15,1,1,55,a,3.99,20.51,David Raya Martin,12
296,252,4,9,58,a,3.97,18.25,Raúl Jiménez,12
83,13,3,1,82,a,3.97,14.13,Martin Ødegaard,12
404,372,3,14,64,a,3.96,19.69,Alejandro Garnacho,12
26,248,1,9,50,a,3.91,19.29,Bernd Leno,12
286,240,3,9,52,a,3.9,16.96,Andreas Hoelgebaum Pereira,12
230,177,3,6,64,a,3.87,20.58,Noni Madueke,12
74,3,2,1,61,a,3.86,19.2,Gabriel dos Santos Magalhães,12
371,335,2,12,59,a,3.86,17.21,Andrew Robertson,12
194,136,3,5,64,a,3.85,23.9,Mitoma Kaoru,12
40,383,1,14,51,a,3.83,20.1,André Onana,12
282,236,2,8,48,a,3.78,14.77,James Tarkowski,12
118,54,3,2,54,a,3.78,18.69,Morgan Rogers,12
348,311,2,12,70,d,3.77,19.11,Trent Alexander-Arnold,12
622,617,4,3,59,a,3.77,18.14,Francisco Evanilson de Lima Barbosa,12
19,185,1,6,47,a,3.76,20.83,Robert Sánchez,12
388,354,3,13,56,a,3.75,20.49,Mateo Kovačić,12
5,47,1,2,50,a,3.73,19.34,Emiliano Martínez Romero,12
279,232,4,8,54,a,3.72,14.34,Iliman Ndiaye,12
36,347,1,13,55,a,3.68,21.09,Ederson Santana de Moraes,12
120,57,3,2,55,a,3.67,19.09,Youri Tielemans,12
43,413,1,15,50,a,3.67,20.27,Nick Pope,12
